source_id,title,source_org,category,subcategory,lab_type,risk_level,hazard_types,url,tags,language,question_hint
WEB-012,实验室常见危险设备操作注意事项,上海交通大学生命科学技术学院,通用,设备安全,通用,4,机械;高温;高压,https://life.sjtu.edu.cn/Data/View/6077,危险设备;离心机;灭菌器,zh-CN,实验室常见危险设备操作有哪些注意事项
WEB-013,液氮罐的安全使用及管理办法,宁夏医科大学颅脑疾病重点实验室,化学,低温安全,化学,4,低温;窒息,http://www.nxmu.edu.cn/lnjbzdsys/info/1094/1283.htm,液氮;低温;冻伤,zh-CN,液氮罐如何安全使用和管理
WEB-014,高等学校实验室消防安全管理规范,清华大学保卫部,通用,消防安全,通用,4,火灾;消防,https://peace.tsinghua.edu.cn/info/1025/2043.htm,消防;灭火器;疏散,zh-CN,高校实验室消防安全管理有哪些规范要求
WEB-015,高等学校实验室消防安全管理规范,南通大学,通用,消防安全,通用,4,火灾;消防,https://sysglc.ntu.edu.cn/2024/0326/c8767a230277/page.htm,消防;防火;应急疏散,zh-CN,实验室消防安全和灭火器使用规范是什么
WEB-016,实验室安全规定及注意事项,复旦大学,通用,安全制度,通用,3,综合安全,https://klca.fudan.edu.cn/ac/c8/c11925a109768/page.htm,安全规定;注意事项;高校,zh-CN,实验室安全规定和注意事项包括哪些
WEB-017,气瓶安全管理规定,南京信息工程大学实验室安全教育与管理网,化学,气瓶管理,化学,4,高压气体;易燃气体,https://examsafety.nuist.edu.cn/redir.php?catalog_id=12103&object_id=18233,气瓶;高压;安全,zh-CN,实验室气瓶安全管理有哪些具体要求
WEB-018,实验室废液管理细则,重庆大学生物工程学院,生物,废液处置,生物,4,生物危废;有机溶剂,https://bio.cqu.edu.cn/info/1134/2795.htm,废液;生物危废;有机废液,zh-CN,实验室废液的分类管理和处置细则有哪些
WEBX-001,Chemical Hygiene Plan,Cornell University EHS,化学,安全管理,化学,4,危化品,https://ehs.cornell.edu/research-safety/chemical-safety/chemical-hygiene-plan,chemical hygiene plan;PHS;SOP;training;EHS,en,How should a laboratory Chemical Hygiene Plan address particularly hazardous substances and high-hazard operations
WEBX-002,Chemical Hygiene Plan,UC Berkeley EH&S,化学,安全管理,化学,4,危化品;化学;综合安全,https://ehs.berkeley.edu/safety-subjects/chemical-safety/chemical-hygiene-plan,chemical hygiene plan;Cal OSHA;CHP;lab responsibilities,en,What responsibilities and components are required in a laboratory Chemical Hygiene Plan
WEBX-003,Information on Hydrofluoric Acid,Stanford Environmental Health & Safety,化学,化学品管理,化学,5,危化品;剧毒;综合安全,https://ehs.stanford.edu/reference/information-hydrofluoric-acid,hydrofluoric acid;HF;calcium gluconate;SOP;PPE,en,What controls and emergency actions are required when using hydrofluoric acid in laboratories
WEBX-004,Hydrofluoric Acid,Princeton University EHS,化学,化学品管理,化学,5,危化品;剧毒;综合安全,https://ehs.princeton.edu/laboratory-research/chemical-safety/chemical-specific-protocols/hydrofluoric-acid,hydrofluoric acid;HF;PPE;first aid;hazardous waste,en,How should laboratories store use dispose and respond to hydrofluoric acid exposure
WEBX-005,Information on Pyrophoric Compounds,Stanford Environmental Health & Safety,化学,危化品管理,化学,5,危化品;火灾,https://ehs.stanford.edu/reference/working-air-sensitive-or-highly-reactive-compounds,pyrophoric;air sensitive;water reactive;SOP;fire safety,en,What risk controls are required for pyrophoric and air-sensitive compounds in research labs
WEBX-006,Section 7K: Pyrophorics - Air and Water Reactives,Princeton University EHS,化学,危化品管理,化学,5,危化品;火灾,https://ehs.princeton.edu/laboratory-research/laboratory-safety/laboratory-safety-manual/sec7k,pyrophorics;air reactive;water reactive;emergency procedures,en,How should pyrophoric air-reactive and water-reactive chemicals be handled safely
WEBX-007,5.11 Peroxide Forming Chemicals,UC Berkeley EH&S,化学,危化品管理,化学,5,危化品;火灾;储存,https://ehs.berkeley.edu/safe-storage-hazardous-chemicals/511-peroxide-forming-chemicals,peroxide forming chemicals;expiration;testing;chemical storage,en,How should peroxide-forming chemicals be dated tested stored and disposed
WEBX-008,Section 7C: Peroxide Forming Compounds and Reactives,Princeton University EHS,化学,危化品管理,化学,5,危化品;火灾,https://ehs.princeton.edu/laboratory-research/laboratory-safety/laboratory-safety-manual/sec7c,peroxide forming chemicals;reactives;testing;inventory,en,What work practices reduce explosion risk from peroxide-forming compounds
WEBX-009,5.6 Compressed Gases,UC Berkeley EH&S,设备安全,气瓶管理,通用,4,高压气体;高压;易燃气体;剧毒,https://ehs.berkeley.edu/safe-storage-hazardous-chemicals/56-compressed-gases,compressed gas;cylinder storage;leak check;segregation,en,What storage and leak-response precautions apply to compressed gas cylinders in labs
WEBX-010,Compressed Gas Cylinder Safety,MIT EHS,设备安全,气瓶管理,通用,4,高压气体;高压;低温,https://ehs.mit.edu/chemical-safety-program/compressed-gas-cylinder-safety/,compressed gas;cylinder restraints;transport;training,en,How should laboratories secure and manage compressed gas cylinders
WEBX-011,Compressed Gas and Cryogenics,Stony Brook University EHS,设备安全,气瓶管理,通用,4,高压气体;低温;窒息,https://ehs.stonybrook.edu/programs/laboratory-safety/chemical-safety/compressed-gas-and-cryogenics,compressed gas;cryogenics;SDS;storage;transport,en,What receiving storage and handling checks are needed for compressed gases and cryogens
WEBX-012,5.7 Cryogens,UC Berkeley EH&S,设备安全,低温安全,通用,4,低温;窒息;高压,https://ehs.berkeley.edu/safe-storage-hazardous-chemicals/57-cryogens,cryogens;liquid nitrogen;oxygen deficiency;pressure relief,en,What hazards and storage controls apply to liquid nitrogen and other cryogens
WEBX-013,Cryogens,University of Texas at Austin EHS,设备安全,低温安全,通用,4,低温;窒息;综合安全,https://ehs.utexas.edu/working-safely/equipment-safety/cryogens,cryogens;liquid nitrogen;training;transport;oxygen deficiency,en,How should liquid nitrogen and cryogenic cylinders be transported and handled safely
WEBX-014,Cryogens,University of Florida EHS,设备安全,低温安全,通用,4,低温;窒息;易燃气体,https://www.ehs.ufl.edu/departments/research-safety-services/chemical-safety/cryogens/,cryogens;liquid nitrogen;SDS;PPE;asphyxiation,en,What PPE and hazard controls are required for cryogenic liquids
WEBX-015,Autoclave Safety,University of Washington EH&S,生物,设备安全,生物,4,高温;高压;生物危废,https://www.ehs.washington.edu/biological/biohazardous-waste/autoclave-safety,autoclave;biohazardous waste;training log;biological indicator,en,What training records and operating controls are required for autoclaving biohazardous waste
WEBX-016,Autoclaves,Cornell University EHS,生物,设备安全,生物,4,高温;高压;生物危废;剧毒,https://ehs.cornell.edu/research-safety/biosafety-biosecurity/biological-safety-manuals-and-other-documents/autoclaves,autoclave;biohazard;bleach incompatibility;cycle selection,en,How should autoclaves be loaded operated and restricted to compatible materials
WEBX-017,Centrifuges,Cornell University EHS,设备安全,设备安全,生物,4,机械;生物危废,https://ehs.cornell.edu/research-safety/biosafety-biosecurity/biological-safety-manuals-and-other-documents/centrifuges,centrifuge;rotor care;balancing;safety cups;aerosol,en,What operating and maintenance controls prevent centrifuge rotor failure and aerosol exposure
WEBX-018,Laboratory Safety Manual,Cornell University EHS,通用,安全手册,通用,4,综合安全;高压;机械;低温,https://ehs.cornell.edu/book/export/html/237,laboratory safety manual;engineering controls;PPE;SOP;equipment safety,en,What general laboratory safety controls are recommended across equipment chemicals and procedures
WEBX-019,Biosafety in Microbiological and Biomedical Laboratories (BMBL) 6th Edition,CDC/NIH,生物,安全管理,生物,5,生物;综合安全;生物危废,https://www.cdc.gov/labs/bmbl/index.html,BMBL;biosafety;risk assessment;containment;CDC;NIH,en,How should BMBL guidance be used for protocol-driven biosafety risk assessment
WEBX-020,Laboratory biosafety manual 4th edition: Risk Assessment,World Health Organization,生物,安全管理,生物,5,生物;综合安全;生物危废,https://www.who.int/publications/i/item/9789240011458,WHO;LBM4;risk assessment;biosafety;PDCA,en,How should laboratories conduct biosafety risk assessment using WHO LBM4 guidance
WEBX-021,"Laboratory biosafety manual, 4th ed",World Health Organization IRIS,生物,安全手册,生物,5,生物;综合安全,https://iris.who.int/handle/10665/337956,WHO;laboratory biosafety manual;GMPP;safety culture;training,en,What safety culture training SOP and incident reporting elements are emphasized by WHO LBM4
WEBX-022,Biosafety Manual,Yale Environmental Health & Safety,生物,设备安全,生物,5,生物;生物危废;机械,https://ehs.yale.edu/sites/default/files/files/biosafety-manual.pdf,biosafety manual;biological safety cabinet;centrifuge safety;primary containment,en,How should BSCs and sealed centrifuge systems be used for primary containment
WEBX-023,Sharps Disposal,Harvard Environmental Health and Safety,生物,危废处置,生物,4,生物危废;机械;危废,https://www.ehs.harvard.edu/resource/sharps-disposal,sharps;biological sharps;puncture-resistant container;waste,en,How should laboratory sharps be segregated collected and disposed
WEBX-024,Solid Biological and Pathological Waste,Harvard Environmental Health and Safety,生物,危废处置,生物,4,生物危废;危废,https://www.ehs.harvard.edu/resource/solid-biological-and-pathological-waste,biological waste;pathological waste;sharps;biohazard,en,How should solid biological and pathological waste be identified labeled and collected
WEBX-025,Chemical Waste,UCSF Environment Health & Safety,化学,危废处置,化学,4,危废;综合安全;储存,https://ehs.ucsf.edu/chemical-waste,chemical waste;hazardous waste;labeling;pickup;storage,en,What labeling storage and pickup requirements apply to laboratory chemical waste
WEBX-026,Laboratory Safety Chemical Fume Hoods,OSHA,设备安全,设备安全,化学,4,综合安全;化学;易燃气体;剧毒,https://www.osha.gov/sites/default/files/publications/OSHAquickfacts-lab-safety-chemical-fume-hoods.pdf,OSHA;chemical fume hood;sash;airflow;engineering control,en,What operating checks are required before and during chemical fume hood use
WEBX-027,School Chemistry Laboratory Safety Guide,NIOSH/CDC,通用,安全手册,化学,3,储存;综合安全;危废,https://www.cdc.gov/niosh/docs/2007-107/default.html,NIOSH;school chemistry;chemical storage;PPE;waste,en,What baseline chemical storage PPE and waste controls are recommended for teaching laboratories
WEBX-028,实验室危险废弃物如何处理,上海交通大学生命科学技术学院,生物,危废处置,生物,4,生物危废;危废;辐射,https://life.sjtu.edu.cn/En/Data/View/6074,危险废弃物;生物废弃物;消毒灭菌;分类收集;放射性废物,zh-CN,实验室危险废弃物如何按生物化学放射性类别处理
WEBX-029,生物安全操作规范,急救与创伤研究教育部重点实验室,生物,SOP,生物,5,生物;生物危废,https://www.muhn.edu.cn/kletme/info/1164/1522.htm,生物安全;生物安全柜;消毒;气溶胶;洗手,zh-CN,生物安全操作中如何减少喷溅气溶胶并做好生物安全柜消毒
WEBX-030,关于印发《武汉市大专院校、科研单位、中学实验室剧毒化学品、易制爆危险化学品储存与使用管理规范》的通知,武汉市人民政府/武汉市公安局,化学,危化品管理,化学,5,剧毒;危化品;综合安全,https://www.wuhan.gov.cn/gwfbpt/sbm/sgaj_79493/202403/t20240313_2372418.shtml,剧毒化学品;易制爆危险化学品;储存;使用;高校;科研单位,zh-CN,院校科研单位实验室剧毒和易制爆危险化学品如何储存使用管理
WEBX-031,宜春学院实验室危险化学品、易制毒化学品管理办法,宜春学院实验室管理中心,化学,危化品管理,化学,5,危化品;综合安全,https://sysglzx.jxycu.edu.cn/2024/0619/c4101a129320/page.htm,危险化学品;易制毒化学品;采购审批;台账;高校,zh-CN,高校实验室危险化学品和易制毒化学品采购使用审批有哪些要求
WEBX-032,易制毒、易制爆、危险化学品管理规章制度,福建师范大学化学与材料学院,化学,危化品管理,化学,5,危化品;危废,https://chem.fjnu.edu.cn/86/7f/c17280a362111/page.htm,易制毒;易制爆;危险化学品;废液废渣;上报,zh-CN,易制毒易制爆危险化学品丢失事故隐患和废弃物如何管理
WEBX-033,实验室气瓶安全知识及管理（上）,河南科技大学教务处,设备安全,气瓶管理,通用,4,高压气体;高压;窒息;易燃气体,https://jwc.haust.edu.cn/info/1102/7439.htm,气瓶;高压气体;液氮;实验室安全;分析仪器,zh-CN,实验室气瓶存放与用气系统常见安全隐患有哪些
WEBX-034,实验室气瓶安全知识及管理（下）,河南科技大学教务处,设备安全,气瓶管理,通用,4,高压气体;综合安全,https://jwc.haust.edu.cn/info/1102/7489.htm,气瓶;检漏;通风;安全装置;惰性气体,zh-CN,实验室气瓶如何进行检漏通风和安全装置管理
WEBX-035,关于加强实验室特种设备（压力容器）专项管理的通知,杭州师范大学信息公开网,设备安全,设备安全,通用,4,高压;机械;综合安全,https://xxgk.hznu.edu.cn/c/2024-06-03/2969471.shtml,特种设备;压力容器;高压灭菌锅;教育部检查;规范管理,zh-CN,高校实验室压力容器和高压灭菌锅专项管理应关注哪些事项
WEBX-036,实验室特种设备小讲堂（第二期）,浙江工商大学实验室与资产管理处,设备安全,设备安全,通用,4,高压;机械;综合安全,https://sbc.zjgsu.edu.cn/2024/0411/c1466a173916/page.htm,特种设备;压力容器;压力;容积;实验室,zh-CN,实验室常用压力容器是否属于特种设备应如何初步判断
WEBX-037,实验室化学废弃物收集处理管理规定（试行）,湖北民族大学生物基础课实验教学示范中心,化学,危废处置,化学,4,危废;综合安全,https://www.hbmzu.edu.cn/sfzx/info/1017/1119.htm,化学废弃物;分类收集;废液;固废;试剂空瓶;台账,zh-CN,实验室化学废弃物分类收集台账和责任人制度如何执行
WEBX-038,环境与化学工程学院实验室废弃物处理管理规定,五邑大学环境与化学工程学院,化学,危废处置,化学,4,危废;综合安全,https://www.wyu.edu.cn/sece/info/2081/8741.htm,实验室废弃物;危险废弃物;废液分类;标签;台账,zh-CN,实验室危险废液分类倒入专用容器和危废标签台账有哪些要求
WEBX-039,实验室安全知识-化学化工学院门户网站,中南大学化学化工学院,通用,安全规范,化学,4,化学;高压气体;火灾;综合安全,https://ccce.csu.edu.cn/info/1591/7436.htm,实验室安全;气瓶;化学品;消防;个人防护,zh-CN,化学实验室安全知识中气瓶化学品和消防有哪些要点
WEBX-040,实验室危险废弃物、废液处置流程,江汉大学化学实验教学中心,化学,废液处置,化学,4,危废;综合安全;危化品,https://chemlab.jhun.edu.cn/4b/ea/c4541a84970/pagem.htm,危险废弃物;废液处置;分类储存;耐腐蚀容器,zh-CN,实验室危险废弃物和废液分类储存处置流程是什么
WEBX-041,Laboratory Safety Manual — Safety Library,Princeton University EHS,通用,安全手册,通用,4,化学;生物;机械;综合安全,https://ehs.princeton.edu/laboratory-research/laboratory-safety/laboratory-safety-manual,laboratory safety manual;chemical safety;reactives;compressed gases,en,What topics are covered by Princeton laboratory safety manual for chemical and equipment hazards
WEBX-042,Laboratory Safety Manual,Stanford Environmental Health & Safety,通用,安全手册,通用,4,化学;生物;辐射;机械,https://ehs.stanford.edu/manual/laboratory-safety-manual,laboratory safety manual;Stanford;chemical safety;emergency,en,What baseline laboratory safety responsibilities and procedures are required by Stanford EHS
WEBX-043,Chemical Safety Manual,Stanford Environmental Health & Safety,化学,安全手册,化学,4,化学;综合安全;储存;危废,https://ehs.stanford.edu/manual/chemical-safety-manual,chemical safety manual;hazard communication;SOP;storage,en,What chemical safety program elements should laboratories implement
WEBX-044,Laboratory Safety Manual,UC Berkeley EH&S,通用,安全手册,通用,4,化学;火灾;综合安全,https://ehs.berkeley.edu/research-safety/laboratory-safety/laboratory-safety-manual,laboratory safety manual;PPE;training;emergency,en,What general lab safety training PPE and emergency requirements are included in UC Berkeley guidance
WEBX-045,5.3 Segregation of Incompatibles,UC Berkeley EH&S,化学,化学品管理,化学,4,危化品;火灾;剧毒,https://ehs.berkeley.edu/safe-storage-hazardous-chemicals/53-segregation-incompatibles,incompatible chemicals;segregation;storage groups,en,How should incompatible chemicals be segregated during laboratory storage
WEBX-046,5.2 Storage by Hazard Class,UC Berkeley EH&S,化学,化学品管理,化学,4,储存;易燃气体;危化品,https://ehs.berkeley.edu/safe-storage-hazardous-chemicals/52-storage-hazard-class,chemical storage;hazard class;flammable;corrosive;oxidizer,en,How should laboratories organize chemical storage by hazard class
WEBX-047,Biological Safety Cabinets,University of Washington EH&S,生物,设备安全,生物,5,生物;生物危废;综合安全,https://www.ehs.washington.edu/biological/biological-safety-cabinets,biological safety cabinet;certification;primary containment;decontamination,en,How should biological safety cabinets be used certified and decontaminated
WEBX-048,Biological Safety Cabinets,University of Minnesota DEHS,生物,设备安全,生物,5,生物;生物危废;综合安全,https://dehs.umn.edu/biological-safety-cabinets,biological safety cabinet;airflow;work practices;decontamination,en,What work practices maintain protection when using a biological safety cabinet
WEBX-049,Laser Safety Program,Stanford Environmental Health & Safety,辐射,辐射安全,通用,5,辐射;火灾,https://ehs.stanford.edu/topic/radiation-safety/laser-safety,laser safety;training;controls;non-ionizing radiation,en,What controls and training are required for laboratory laser safety
WEBX-050,Laser Safety Manual,MIT EHS,辐射,辐射安全,通用,5,辐射;电气,https://ehs.mit.edu/wp-content/uploads/Laser_Safety_Manual.pdf,laser safety manual;classification;PPE;interlocks,en,How should high-power lasers be classified controlled and operated safely
WEBX-051,实验室安全分类分级管理办法（试行）,清华大学实验室管理处,实验室管理,安全管理,通用,4,综合安全,https://labsafety.tsinghua.edu.cn/info/1052/1716.htm,实验室安全;分类分级;风险评估;清华大学,zh-CN,高校实验室如何开展安全分类分级和风险管控
WEBX-052,实验室安全检查项目表,清华大学实验室管理处,实验室管理,安全管理,通用,3,综合安全,https://labsafety.tsinghua.edu.cn/info/1051/1670.htm,实验室安全检查;隐患整改;检查表,zh-CN,实验室安全检查应覆盖哪些项目和整改要求
WEBX-053,高校实验室安全检查项目表（2024）,华中科技大学实验室与设备管理处,实验室管理,安全管理,通用,4,综合安全;化学;生物;机械,https://sysglc.hust.edu.cn/info/1085/2904.htm,高校实验室安全;检查项目表;教育部;风险隐患,zh-CN,高校实验室安全检查项目表对化学品设备生物安全有哪些检查点
WEBX-054,实验室安全教育与考试系统题库说明,浙江大学实验室与设备管理处,培训,培训,通用,3,综合安全,https://sbb.zju.edu.cn/2024/0919/c39243a2965332/page.htm,实验室安全教育;准入考试;培训;题库,zh-CN,实验室准入培训和安全考试应如何支持人员安全能力建设
WEBX-055,实验室安全准入制度,西安交通大学实验室与资产管理处,培训,培训,通用,3,综合安全,https://sysglc.xjtu.edu.cn/info/1025/1319.htm,实验室安全准入;安全培训;考试;责任书,zh-CN,实验室人员进入实验室前应完成哪些安全准入要求
